number,title,creator,seasons,episodes,primaryTime,premiereDate,finaleDate,DC,Synd,ABC,CBS/UPN,Toon,XD,Junior,D+
61,Sofia the First,Craig Gerber,4,109,22,2013-01-11,2018-09-08,0,0,0,0,0,0,1,0
62,Mickey Mouse,Paul Rudish,5,96,5,2013-06-28,2019-07-20,1,0,0,0,0,0,0,0
63,Wander Over Yonder,Craig McCracken,2,79,11,2013-08-16,2016-06-27,1,0,0,0,0,1,0,0
64,The 7D,"Tom Ruegger, Mr. Warburton, Noah Z. Jones",2,87,11,2014-07-07,2016-11-05,0,0,0,0,0,1,0,0
65,Penn Zero: Part-Time Hero,"Jared Bush, Sam Levine",2,61,11,2014-12-05,2017-07-28,0,0,0,0,0,1,0,0
66,Star vs. the Forces of Evil,Daron Nefcy,4,140,11,2015-01-18,2019-05-19,1,0,0,0,0,1,0,0
67,Two More Eggs,The Brothers Chaps,3,90,5,2015-08-10,2017-09-04,0,0,0,0,0,1,0,0
68,Pickle and Peanut,"Noah Z. Jones, Joel Trussell",2,82,11,2015-09-07,2018-01-20,0,0,0,0,0,1,0,0
69,Descendants: Wicked World,"Aliki Theofilopoulos, Jennifer Magee-Cook",3,36,5,2015-09-18,2017-03-03,1,0,0,0,0,0,0,0
70,The Lion Guard,Ford Riley,3,74,22,2016-01-15,2019-11-03,0,0,0,0,0,0,1,0
71,Elena of Avalor,Craig Gerber,3,77,22,2016-07-22,2020-08-23,1,0,0,0,0,0,1,0
72,Future-Worm!,Ryan Quincy,1,60,11,2016-08-01,2018-05-19,0,0,0,0,0,1,0,0
73,Milo Murphy's Law,"Dan Povenmire, Jeff ""Swampy"" Marsh",2,73,11,2016-10-03,2019-05-18,1,0,0,0,0,1,0,0
74,Mickey Mouse Mixed-Up Adventures,"Rob LaDuca, Mark Seidenberg",3,174,11,2017-01-15,2021-10-01,0,0,0,0,0,0,1,0
75,Rapunzel's Tangled Adventure,"Shane Prigmore, Chris Sonnenburg",3,60,22,2017-03-24,2020-03-01,1,0,0,0,0,0,0,0
76,Billy Dilley's Super-Duper Subterranean Summer,Aaron Springer,1,25,11,2017-06-03,2017-06-15,0,0,0,0,0,1,0,0
77,DuckTales (2017),"Matt Youngberg, Francisco Angones",3,69,22,2017-08-12,2021-03-15,1,0,0,0,0,1,0,0
78,Big Hero 6: The Series,"Mark McCorkle, Bob Schooley",3,66,22,2017-11-20,2021-02-15,1,0,0,0,0,1,0,0
79,Big City Greens,The Houghton Brothers,4,164,11,2018-06-18,2024-12-31,1,0,0,0,0,0,0,0
80,Fancy Nancy,"Anne Smith, Jamie Mitchell, Krista Tucker",3,123,11,2018-07-13,2022-02-18,0,0,0,0,0,0,1,0
81,Amphibia,Matt Braly,3,106,11,2019-06-17,2022-05-14,1,0,0,0,0,0,0,0
82,The Owl House,Dana Terrace,3,43,22,2020-01-10,2023-04-08,1,0,0,0,0,0,0,0
83,The Wonderful World of Mickey Mouse,Paul Rudish,2,25,5,2020-11-18,2023-07-28,0,0,0,0,0,0,0,1
84,Monsters at Work,Bobs Gannaway,2,12,22,2021-07-07,2024-12-31,0,0,0,0,0,0,0,1
85,Mickey Mouse Funhouse,"Phil Weinstein, Thomas Hart",3,116,11,2021-07-16,2024-12-31,0,0,0,0,0,0,1,0
86,The Ghost and Molly McGee,"Bill Motz, Bob Roth",2,78,11,2021-10-01,2024-01-13,1,0,0,0,0,0,0,0
87,"Rise Up, Sing Out","Latoya Raveneau, Questlove",1,8,5,2022-02-02,2024-12-31,0,0,0,0,0,0,1,0
88,Alice's Wonderland Bakery,Chelsea Beyl,2,92,11,2022-02-09,2024-12-31,0,0,0,0,0,0,1,0
89,The Proud Family: Louder and Prouder,"Bruce W. Smith, Ralph Farquhar",2,20,22,2022-02-23,2024-12-31,0,0,0,0,0,0,0,1
90,Chibiverse,Gino Guzzardo,2,6,22,2022-07-30,2024-12-31,1,0,0,0,0,0,0,0
91,Hamster & Gretel,Dan Povenmire,1,58,11,2022-08-12,2024-12-31,1,0,0,0,0,0,0,0
92,Firebuds,Craig Gerber,2,70,11,2022-09-21,2024-12-31,0,0,0,0,0,0,1,0
93,Moon Girl and Devil Dinosaur,"Steve Loter, Jeffrey M. Howard, Kate Kondell",2,30,22,2023-02-10,2024-12-31,1,0,0,0,0,0,0,0
94,Kiff,"Lucy Heavens, Nic Smal",1,58,11,2023-03-10,2024-12-31,1,0,0,0,0,0,0,0
95,Hailey's On It!,"Devin Bunje, Nick Stanton",1,45,11,2023-06-08,2024-12-31,1,0,0,0,0,0,0,0
